Distance_(micrometer),Value
218.579,213.8224
219.945,213.8004
221.311,214.6687
222.678,214.6029
224.044,215.3333
225.410,215.3333
226.776,215.6186
228.142,215.6625
229.508,211.6270
230.874,211.5831
232.240,212.7304
233.607,212.7523
234.973,212.2153
236.339,212.2592
237.705,207.5152
239.071,207.4932
240.437,205.6667
241.803,205.6667
243.169,206.6667
244.536,206.6667
245.902,205.7670
247.268,205.7231
248.634,203.6792
250.000,203.6823
251.366,205.0000
252.732,205.0000
254.098,206.0000
255.464,206.0000
256.831,206.1254
258.197,206.1473
259.563,206.0000
260.929,206.0000
262.295,204.0000
263.661,204.0000
265.027,204.0000
266.393,204.0000
267.760,206.0000
269.126,206.0000
270.492,207.0000
271.858,207.0000
273.224,210.1661
274.590,210.2320
275.956,205.0637
277.322,205.1515
278.689,207.8098
280.055,207.8318
281.421,209.8130
282.787,209.7910
284.153,206.1024
285.519,206.0805
286.885,207.4504
288.251,207.4065
289.617,209.0146
290.984,208.9927
292.350,203.6667
293.716,203.6667
295.082,205.0000
296.448,205.0000
297.814,204.7837
299.180,204.8056
300.546,204.3333
301.913,204.3333
303.279,205.3333
304.645,205.3333
306.011,206.6667
307.377,206.6667
308.743,207.3333
310.109,207.3333
311.475,207.9979
312.842,207.9833
314.208,207.0157
315.574,207.0230
316.940,206.4242
318.306,206.4462
319.672,207.8913
321.038,207.9279
322.404,207.2142
323.770,207.1996
325.137,205.3333
326.503,205.3333
327.869,206.4002
329.235,206.3783
330.601,205.3563
331.967,205.3344
333.333,203.9791
334.699,203.9572
336.066,205.7346
337.432,205.7200
338.798,206.3333
340.164,206.3333
341.530,207.0094
342.896,206.9948
344.262,206.6667
345.628,206.6667
346.995,205.9070
348.361,205.9289
349.727,204.8234
351.093,204.8527
352.459,204.8819
353.825,204.9112
355.191,205.2351
356.557,205.2424
357.923,205.4995
359.290,205.5141
360.656,203.8046
362.022,203.7900
363.388,206.2863
364.754,206.3375
366.120,206.6823
367.486,206.7409
368.852,205.3333
370.219,205.3333
371.585,205.3333
372.951,205.3333
374.317,206.3459
375.683,206.3678
377.049,205.6667
378.415,205.6667
379.781,202.5664
381.148,202.5444
382.514,205.1891
383.880,205.1672
385.246,204.4159
386.612,204.3866
387.978,204.3574
389.344,204.3281
390.710,204.0575
392.077,204.0355
393.443,203.0136
394.809,202.9916
396.175,202.3030
397.541,202.2811
398.907,203.4566
400.273,203.4274
401.639,206.4305
403.005,206.3866
404.372,207.3333
405.738,207.3333
407.104,204.3333
408.470,204.3333
409.836,204.6667
411.202,204.6667
412.568,205.2936
413.934,205.3156
415.301,204.6667
416.667,204.6667
418.033,205.4284
419.399,205.4211
420.765,206.3218
422.131,206.2926
423.497,204.7325
424.863,204.7252
426.230,207.0000
427.596,207.0000
428.962,204.4430
430.328,204.4211
431.694,203.6667
433.060,203.6667
434.426,203.6667
435.792,203.6667
