Distance_(micrometer),Value
0.000,216.0000
1.366,215.9781
2.732,215.6228
4.098,215.6008
5.464,216.9122
6.831,216.8903
8.197,216.4034
9.563,216.3595
10.929,215.3333
12.295,215.3333
13.661,216.3333
15.027,216.3333
16.393,217.6667
17.760,217.6667
19.126,217.6667
20.492,217.6667
21.858,218.0000
23.224,218.0000
24.590,217.0000
25.956,217.0000
27.322,216.5611
28.689,216.5392
30.055,216.5172
31.421,216.4953
32.787,216.4734
34.153,216.4514
35.519,217.0000
36.885,217.0000
38.251,216.0000
39.617,216.0000
40.984,215.0000
42.350,215.0000
43.716,214.6667
45.082,214.6667
46.448,216.6667
47.814,216.6667
49.180,217.6667
50.546,217.6667
51.913,217.5005
53.279,217.5225
54.645,216.3333
56.011,216.3333
57.377,217.3333
58.743,217.3333
60.109,217.0000
61.475,217.0000
62.842,217.0000
64.208,217.0000
65.574,217.0000
66.940,217.0000
68.306,217.6667
69.672,217.6667
71.038,217.6196
72.404,217.6123
73.770,216.1484
75.137,216.1264
76.503,216.4096
77.869,216.4169
79.235,216.6970
80.601,216.7262
81.967,216.7555
83.333,216.7847
84.699,217.3333
86.066,217.3333
87.432,217.3333
88.798,217.3333
90.164,216.3333
91.530,216.3333
92.896,215.3333
94.262,215.3333
95.628,214.8694
96.995,214.8913
98.361,215.5465
99.727,215.6050
101.093,216.6635
102.459,216.7220
103.825,216.6677
105.191,216.6897
106.557,216.0000
107.924,216.0000
109.290,215.6593
110.656,215.6301
112.022,216.6008
113.388,216.5716
114.754,216.3856
116.120,216.3783
117.486,214.4462
118.852,214.4242
120.219,217.3793
121.585,217.3647
122.951,216.3501
124.317,216.3354
125.683,217.0000
127.049,217.0000
128.415,218.0000
129.781,218.0000
131.148,218.1066
132.514,218.1285
133.880,218.1505
135.246,218.1724
136.612,216.7962
137.978,216.8109
139.344,215.9049
140.710,215.9269
142.077,219.5643
143.443,219.6082
144.809,214.9927
146.175,215.0146
147.541,214.0366
148.907,214.0585
150.273,217.7471
151.639,217.7691
153.005,219.3333
154.372,219.3333
155.738,216.6667
157.104,216.6667
158.470,214.6667
159.836,214.6667
161.202,217.0000
162.568,217.0000
163.934,217.2999
165.301,217.3218
166.667,217.0104
168.033,217.0324
169.399,217.7753
170.765,217.8192
172.131,216.4316
173.497,216.4535
174.863,213.3333
176.230,213.3333
177.596,214.3333
178.962,214.3333
180.328,217.2299
181.694,217.2518
183.060,217.9404
184.426,217.9624
185.792,218.6196
187.158,218.6520
188.525,216.6949
189.891,216.7168
191.257,214.4054
192.623,214.4274
193.989,215.2173
195.355,215.1954
196.721,216.5465
198.087,216.5758
199.454,216.8704
200.820,216.8924
202.186,214.3333
203.552,214.3333
204.918,212.6249
206.284,212.6468
207.650,218.0042
209.016,218.0481
210.383,217.3333
211.749,217.3333
213.115,215.9101
214.481,215.8882
215.847,213.8662
217.213,213.8443
