Distance_(micrometer),Value
282.787,198.1597
284.153,198.1637
285.519,197.2924
286.885,197.2954
288.251,197.3333
289.617,197.3333
290.984,197.2126
292.350,197.2136
293.716,198.2834
295.082,198.2755
296.448,198.3333
297.814,198.3333
299.180,197.4261
300.546,197.4311
301.913,196.3383
303.279,196.3353
304.645,195.6647
306.011,195.6587
307.377,197.1088
308.743,197.1078
310.109,198.0130
311.475,198.0160
312.842,198.5998
314.208,198.6068
315.574,197.0499
316.940,197.0559
318.306,196.7285
319.672,196.7345
321.038,195.8024
322.404,195.8044
323.770,196.0000
325.137,196.0000
326.503,196.0000
327.869,196.0000
329.235,196.7216
330.601,196.7245
331.967,197.3333
333.333,197.3333
334.699,199.1108
336.066,199.1058
337.432,198.5938
338.798,198.5908
340.164,199.0000
341.530,199.0000
342.896,198.0000
344.262,198.0000
345.628,196.2425
346.995,196.2395
348.361,194.7096
349.727,194.7006
351.093,196.4611
352.459,196.4551
353.825,199.2245
355.191,199.2216
356.557,201.8962
357.923,201.9022
359.290,195.9711
360.656,195.9621
362.022,197.8044
363.388,197.8024
364.754,197.3333
366.120,197.3333
367.486,196.3333
368.852,196.3333
370.219,194.8743
371.585,194.8763
372.951,195.8174
374.317,195.8204
375.683,196.8233
377.049,196.8263
378.415,197.1707
379.781,197.1677
381.148,196.1138
382.514,196.1178
383.880,197.3174
385.246,197.3114
386.612,197.4581
387.978,197.4491
389.344,197.0489
390.710,197.0479
392.077,195.9062
393.443,195.9082
394.809,196.0000
396.175,196.0000
397.541,196.0000
398.907,196.0000
400.273,196.0469
401.639,196.0539
403.005,195.7445
404.372,195.7425
405.738,196.0369
407.104,196.0359
408.470,196.1397
409.836,196.1357
411.202,197.0000
412.568,197.0000
413.934,195.7904
415.301,195.7864
416.667,194.8403
418.033,194.8343
419.399,194.7475
420.765,194.7445
422.131,194.1497
423.497,194.1437
424.863,196.2066
426.230,196.1976
427.596,198.0000
428.962,198.0000
430.328,198.2196
431.694,198.2255
433.060,197.0000
434.426,197.0000
435.792,195.7265
437.158,195.7226
438.525,197.9611
439.891,197.9641
441.257,198.8792
442.623,198.8902
443.989,197.8743
445.355,197.8882
446.721,196.9860
448.087,196.9880
449.454,196.0050
450.820,196.0040
452.186,197.9910
453.552,197.9940
454.918,198.0030
456.284,198.0000
