Distance_(micrometer),Value
0.000,205.3333
1.366,204.6697
2.732,204.6727
4.098,208.6667
5.464,208.6667
6.831,209.3333
8.197,209.3333
9.563,207.3403
10.929,207.3413
12.295,206.6936
13.661,206.6966
15.027,207.6337
16.393,207.6307
17.760,208.2295
19.126,208.2216
20.492,207.3034
21.858,207.3014
23.224,208.7515
24.590,208.7565
25.956,209.7046
27.322,209.7066
28.689,208.6457
30.055,208.6447
31.421,210.0689
32.787,210.0719
34.153,209.0000
35.519,209.0000
36.885,209.0000
38.251,209.0000
39.617,210.8263
40.984,210.8204
42.350,209.0000
43.716,209.0000
45.082,207.0988
46.448,207.1018
47.814,207.1048
49.180,207.1078
50.546,209.8892
51.913,209.8862
53.279,209.4501
54.645,209.4531
56.011,209.5788
57.377,209.5848
58.743,210.3333
60.109,210.3333
61.475,208.8653
62.842,208.8623
64.208,206.1407
65.574,206.1437
66.940,207.2934
68.306,207.2994
69.672,210.3613
71.038,210.3553
72.404,211.0319
73.770,211.0200
75.137,209.2236
76.503,209.2216
77.869,208.2685
79.235,208.2615
80.601,206.4900
81.967,206.4870
83.333,206.6986
84.699,206.7046
86.066,208.3333
87.432,208.3333
88.798,207.2775
90.164,207.2715
91.530,206.9321
92.896,206.9261
94.262,210.8403
95.628,210.8284
96.995,208.8792
98.361,208.8822
99.727,205.5519
101.093,205.5549
102.459,204.7824
103.825,204.7884
105.191,207.3333
106.557,207.3333
107.924,210.5269
109.290,210.5210
110.656,210.6667
112.022,210.6667
113.388,209.2485
114.754,209.2515
116.120,207.0788
117.486,207.0758
118.852,206.1737
120.219,206.1756
121.585,210.6008
122.951,210.5888
124.317,210.8493
125.683,210.8403
127.049,208.7764
128.415,208.7704
129.781,208.7186
131.148,208.7086
132.514,209.4621
133.880,209.4531
135.246,208.0369
136.612,208.0339
137.978,207.3333
139.344,207.3333
140.710,208.3333
142.077,208.3333
143.443,208.0379
144.809,208.0319
146.175,207.1198
147.541,207.1178
148.907,208.3194
150.273,208.3253
151.639,207.9990
153.005,208.0020
154.372,206.2156
155.738,206.2116
157.104,207.3224
158.470,207.3194
159.836,208.7176
161.202,208.7265
162.568,206.1417
163.934,206.1457
165.301,205.5459
166.667,205.5449
168.033,207.3513
169.399,207.3433
170.765,208.3353
172.131,208.3273
173.497,207.0798
174.863,207.0779
176.230,206.8483
177.596,206.8523
178.962,206.3204
180.328,206.3253
181.694,204.7994
183.060,204.8004
184.426,209.2555
185.792,209.2475
187.158,207.8293
188.525,207.8184
189.891,206.8343
191.257,206.8284
192.623,208.1038
193.989,208.0998
195.355,208.3333
196.721,208.3333
198.087,207.3333
199.454,207.3333
200.820,206.5998
202.186,206.5948
203.552,208.1437
204.918,208.1357
206.284,209.9451
207.650,209.9381
209.016,207.5140
210.383,207.5130
211.749,206.7974
213.115,206.8004
214.481,208.0200
215.847,208.0180
217.213,208.3812
218.579,208.3752
219.945,206.3693
221.311,206.3633
222.678,205.3333
224.044,205.3333
225.410,206.8273
226.776,206.8303
228.142,205.1667
229.508,205.1637
230.874,204.3413
232.240,204.3453
233.607,204.3413
234.973,204.3433
236.339,204.0240
237.705,204.0279
239.071,201.5240
240.437,201.5269
241.803,200.1367
243.169,200.1337
244.536,198.5709
245.902,198.5629
247.268,196.0968
248.634,196.0918
250.000,198.6667
251.366,198.6667
252.732,198.0000
254.098,198.0000
255.464,197.7735
256.831,197.7704
258.197,198.3902
259.563,198.3852
260.929,198.6667
262.295,198.6667
263.661,197.1557
265.027,197.1617
266.393,195.5838
267.760,195.5868
269.126,195.0769
270.492,195.0739
271.858,197.6028
273.224,197.6008
274.590,197.9351
275.956,197.9381
277.322,199.6667
278.689,199.6667
280.055,199.9241
281.421,199.9221
