Distance_(micrometer),Value
0.000,213.3333
1.366,213.3333
2.732,212.6667
4.098,212.6667
5.464,218.3333
6.831,218.3333
8.197,216.6667
9.563,216.6667
10.929,214.6667
12.295,214.6667
13.661,215.6667
15.027,215.6667
16.393,216.3333
17.760,216.3333
19.126,215.3333
20.492,215.3333
21.858,214.3333
23.224,214.3333
24.590,216.6667
25.956,216.6667
27.322,217.6667
28.689,217.6667
30.055,217.0000
31.421,217.0000
32.787,214.3333
34.153,214.3333
35.519,213.3333
36.885,213.3333
38.251,215.3333
39.617,215.3333
40.984,216.3333
42.350,216.3333
43.716,214.3333
45.082,214.3333
46.448,213.3333
47.814,213.3333
49.180,214.3333
50.546,214.3333
51.913,213.3333
53.279,213.3333
54.645,215.6667
56.011,215.6667
57.377,216.3333
58.743,216.3333
60.109,217.3333
61.475,217.3333
62.842,217.3333
64.208,217.3333
65.574,217.3333
66.940,217.3333
68.306,214.6667
69.672,214.6667
71.038,213.6667
72.404,213.6667
73.770,213.3333
75.137,213.3333
76.503,215.6667
77.869,215.6667
79.235,215.6667
80.601,215.6667
81.967,214.3333
83.333,214.3333
84.699,214.6667
86.066,214.6667
87.432,215.6667
88.798,215.6667
90.164,213.6667
91.530,213.6667
92.896,212.3333
94.262,212.3333
95.628,214.3333
96.995,214.3333
98.361,215.0000
99.727,215.0000
101.093,211.0000
102.459,211.0000
103.825,215.0000
105.191,215.0000
106.557,214.0000
107.924,214.0000
109.290,212.0000
110.656,212.0000
112.022,214.0000
113.388,214.0000
114.754,212.0000
116.120,212.0000
117.486,213.0000
118.852,213.0000
120.219,210.3333
121.585,210.3333
122.951,213.3333
124.317,213.3333
125.683,213.6667
127.049,213.6667
128.415,211.6667
129.781,211.6667
131.148,211.6667
132.514,211.6667
133.880,213.6667
135.246,213.6667
136.612,213.3333
137.978,213.3333
139.344,212.0000
140.710,212.0000
142.077,213.3333
143.443,213.3333
144.809,213.3333
146.175,213.3333
147.541,212.6667
148.907,212.6667
150.273,212.6667
151.639,212.6667
153.005,211.6667
154.372,211.6667
155.738,211.6667
157.104,211.6667
158.470,210.3333
159.836,210.3333
161.202,210.3333
162.568,210.3333
163.934,212.3333
165.301,212.3333
166.667,209.3333
168.033,209.3333
169.399,213.0000
170.765,213.0000
172.131,213.6667
173.497,213.6667
174.863,209.6667
176.230,209.6667
177.596,210.6667
178.962,210.6667
180.328,213.6667
181.694,213.6667
183.060,211.6667
184.426,211.6667
185.792,211.3333
187.158,211.3333
188.525,212.3333
189.891,212.3333
191.257,212.6667
192.623,212.6667
193.989,212.6667
195.355,212.6667
196.721,213.3333
198.087,213.3333
199.454,211.3333
200.820,211.3333
202.186,210.3333
203.552,210.3333
204.918,209.3333
206.284,209.3333
207.650,213.6667
209.016,213.6667
210.383,211.3333
211.749,211.3333
213.115,210.3333
214.481,210.3333
215.847,210.3333
217.213,210.3333
218.579,209.6667
219.945,209.6667
221.311,208.6667
222.678,208.6667
224.044,207.6667
225.410,207.6667
226.776,207.6667
228.142,207.6667
229.508,208.0000
230.874,208.0000
232.240,207.6667
233.607,207.6667
234.973,206.6667
236.339,206.6667
237.705,204.0000
239.071,204.0000
240.437,203.6667
241.803,203.6667
243.169,203.0000
244.536,203.0000
245.902,203.3333
247.268,203.3333
248.634,204.0000
250.000,204.0000
251.366,203.0000
252.732,203.0000
254.098,202.0000
255.464,202.0000
256.831,202.0000
258.197,202.0000
259.563,201.6667
260.929,201.6667
262.295,201.3333
263.661,201.3333
265.027,201.6667
266.393,201.6667
267.760,201.3333
269.126,201.3333
270.492,200.6667
271.858,200.6667
273.224,200.3333
274.590,200.3333
275.956,202.3333
277.322,202.3333
278.689,204.0000
280.055,204.0000
281.421,203.0000
282.787,203.0000
284.153,202.0000
285.519,202.0000
286.885,201.0000
288.251,201.0000
289.617,203.3333
290.984,203.3333
292.350,204.3333
293.716,204.3333
295.082,199.6667
296.448,199.6667
297.814,200.6667
299.180,200.6667
300.546,200.6667
301.913,200.6667
303.279,200.6667
304.645,200.6667
306.011,201.6667
307.377,201.6667
308.743,202.6667
310.109,202.6667
311.475,203.0000
312.842,203.0000
314.208,201.0000
315.574,201.0000
316.940,202.0000
318.306,202.0000
319.672,201.3333
321.038,201.3333
322.404,202.3333
323.770,202.3333
325.137,202.6667
326.503,202.6667
327.869,201.3333
329.235,201.3333
330.601,201.0000
331.967,201.0000
333.333,201.6667
334.699,201.6667
336.066,205.0000
337.432,205.0000
338.798,200.6667
340.164,200.6667
341.530,200.6667
342.896,200.6667
344.262,200.6667
345.628,200.6667
346.995,199.6667
348.361,199.6667
349.727,199.6667
351.093,199.6667
352.459,200.0000
353.825,200.0000
355.191,202.0000
356.557,202.0000
357.923,203.6667
359.290,203.6667
360.656,201.6667
362.022,201.6667
363.388,205.6667
364.754,205.6667
366.120,203.6667
367.486,203.6667
368.852,201.6667
370.219,201.6667
371.585,203.6667
372.951,203.6667
374.317,203.0000
375.683,203.0000
377.049,201.0000
378.415,201.0000
379.781,204.0000
381.148,204.0000
382.514,204.0000
383.880,204.0000
385.246,205.0000
386.612,205.0000
387.978,203.6667
389.344,203.6667
390.710,202.6667
392.077,202.6667
393.443,201.6667
394.809,201.6667
396.175,198.6667
397.541,198.6667
398.907,199.6667
400.273,199.6667
401.639,204.6667
403.005,204.6667
404.372,201.6667
405.738,201.6667
407.104,201.0000
408.470,201.0000
409.836,202.0000
411.202,202.0000
412.568,202.0000
413.934,202.0000
415.301,200.0000
416.667,200.0000
418.033,202.0000
419.399,202.0000
420.765,205.0000
422.131,205.0000
423.497,203.6667
424.863,203.6667
426.230,198.3333
427.596,198.3333
428.962,200.0000
430.328,200.0000
431.694,201.0000
433.060,201.0000
434.426,202.3333
435.792,202.3333
437.158,201.3333
438.525,201.3333
439.891,201.3333
441.257,201.3333
442.623,202.3333
443.989,202.3333
445.355,202.3333
446.721,202.3333
448.087,202.3333
449.454,202.3333
450.820,202.0000
452.186,202.0000
453.552,202.0000
454.918,202.0000
456.284,200.6667
457.650,200.6667
459.016,198.6667
460.383,198.6667
